T_ID,Code,relief_0,relief_1,relief_2,relief_3,relief_4,slope_<45,slope_>45,slope_0,slope_45,slope_90,fov.open,fov.limited,turf_algae,rock,hydrocoral,halimeda,cca,macroalgae,complex_octocoral,other_octocoral,seagrass,sponge,HC_complex,HC_encrusting,HC_plate,HC_other,HC_bleached,HC_dead,HC_massive_submass,unconsolidated_subs,,Reef,Site,Date,Transect,Lat,Long,Depth,Temperature,Habitat,Survey
HerSurp_1_Feb2022_T3,HS_3,0,14,50,0,0,7,15,0,41,0,78,22,34.85,0,0,0,0,15.15,28.79,1.52,0,0,1.52,4.55,1.52,0,0,0,1.52,10.61,,Herald's Surprise,HerSurp_1,26/02/2022,T3,-17.33076,148.478,47.6,27.5,outer_reef,Feb-22
HerSurp_1_Feb2022_T4,HS_4,0,10,54,2,0,8,34,0,23,1,80,20,37.88,1.52,1.52,4.55,0,9.09,19.7,0,0,0,4.55,12.12,0,3.03,0,0,0,6.06,,Herald's Surprise,HerSurp_1,26/02/2022,T4,-17.33076,148.478,39.6,27.5,outer_reef,Feb-22
HerSurp_1_Feb2022_T5,HS_5,0,14,59,3,0,22,7,0,47,0,80,20,48.68,0,0,0,0,0,23.68,0,0,2.63,9.21,1.32,7.89,0,0,0,1.32,5.26,,Herald's Surprise,HerSurp_1,26/02/2022,T5,-17.33076,148.478,28.4,27.5,outer_reef,Feb-22
HerSurp_1_Feb2022_T6,HS_6,0,4,58,9,0,0,68,0,2,1,80,20,30.14,0,0,8.22,0,0,17.81,1.37,0,4.11,15.07,4.11,9.59,4.11,0,2.74,2.74,0,,Herald's Surprise,HerSurp_1,26/02/2022,T6,-17.33076,148.478,18.6,28.8,outer_reef,Feb-22
HerSurp_1_Feb2022_T7,HS_7,0,0,59,16,0,0,75,0,0,0,80,20,76.71,0,0,0,0,0,0,2.74,0,0,5.48,0,6.85,0,2.74,4.11,1.37,0,,Herald's Surprise,HerSurp_1,26/02/2022,T7,-17.33076,148.478,13.7,28.8,outer_reef,Feb-22
HerSurp_1_Feb2022_T8,HS_8,0,5,58,4,0,4,39,0,24,0,80,20,33.85,0,0,6.15,44.62,0,1.54,0,0,0,9.23,0,0,0,1.54,0,3.08,0,,Herald's Surprise,HerSurp_1,26/02/2022,T8,-17.33076,148.478,9.6,28.8,outer_reef,Feb-22
Holmes_2_Feb2021_T1,HO_1,5,25,32,1,0,0,1,0,62,0,80,20,25.4,6.35,0,15.87,0,1.59,33.33,0,0,4.76,0,0,0,0,0,0,0,12.7,,Holmes,Holmes_2,21/02/2021,T1,-16.42536,147.98399,62.7,27.1,outer_reef,Feb-21
Holmes_2_Feb2021_T10,HO_10,6,19,38,1,0,64,0,0,0,0,80,20,15.62,0,3.12,0,0,21.88,12.5,1.56,0,4.69,1.56,3.12,3.12,0,0,0,3.12,29.69,,Holmes,Holmes_2,21/02/2021,T10,-16.42536,147.98399,37,28,outer_reef,Feb-21
Holmes_2_Feb2021_T2,HO_2,0,24,43,3,0,33,1,0,36,0,80,20,17.65,0,0,19.12,0,5.88,26.47,0,0,2.94,1.47,7.35,4.41,1.47,0,0,1.47,11.76,,Holmes,Holmes_2,21/02/2021,T2,-16.42536,147.98399,63.7,26.3,outer_reef,Feb-21
Holmes_2_Feb2021_T3,HO_3,0,2,55,8,0,0,64,0,1,0,80,20,10.77,18.46,0,18.46,0,0,41.54,0,0,4.62,0,3.08,0,0,0,0,0,3.08,,Holmes,Holmes_2,21/02/2021,T3,-16.42536,147.98399,64.2,26.6,outer_reef,Feb-21
