"","New_ID","Site","Transect.x","Depth_m","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper","turf_algae","rock","hydrocoral","halimeda","cca","macroalgae","complex_octocoral","other_octocoral","seagrass","sponge","HC_complex","HC_encrusting","HC_plate","HC_other","HC_bleached","HC_dead","HC_massive_submass","unconsolidated_subs","Transect.y","Depth","Survey","Site_recode","Survey_recode","total_macroalgae","total_hard_coral"
"68","Feb_22|HSUP-01|T2|55.5","HSUP-01","T2",55.5,5,3,0,1,0,0,42.11,1.32,0,2.63,0,5.26,18.42,0,0,0,2.63,3.95,3.95,1.32,0,0,1.32,17.11,"T2",55.5,"Feb-22","HSUP-01","Feb_22",7.89,13.17
"69","Feb_22|HSUP-01|T3|47.6","HSUP-01","T3",47.6,4,6,0,3,0,0,34.85,0,0,0,0,15.15,28.79,1.52,0,0,1.52,4.55,1.52,0,0,0,1.52,10.61,"T3",47.6,"Feb-22","HSUP-01","Feb_22",15.15,9.11
"70","Feb_22|HSUP-01|T4|39.6","HSUP-01","T4",39.6,4,16,0,5,0,0,37.88,1.52,1.52,4.55,0,9.09,19.7,0,0,0,4.55,12.12,0,3.03,0,0,0,6.06,"T4",39.6,"Feb-22","HSUP-01","Feb_22",13.64,19.7
"71","Feb_22|HSUP-01|T5|28.4","HSUP-01","T5",28.4,4,20,2,21,1,1,48.68,0,0,0,0,0,23.68,0,0,2.63,9.21,1.32,7.89,0,0,0,1.32,5.26,"T5",28.4,"Feb-22","HSUP-01","Feb_22",0,19.74
"72","Feb_22|HSUP-01|T6|18.6","HSUP-01","T6",18.6,3,6,3,12,1,2,30.14,0,0,8.22,0,0,17.81,1.37,0,4.11,15.07,4.11,9.59,4.11,0,2.74,2.74,0,"T6",18.6,"Feb-22","HSUP-01","Feb_22",8.22,35.62
"73","Feb_22|HSUP-01|T7|13.7","HSUP-01","T7",13.7,2,14,5,9,5,4,76.71,0,0,0,0,0,0,2.74,0,0,5.48,0,6.85,0,2.74,4.11,1.37,0,"T7",13.7,"Feb-22","HSUP-01","Feb_22",0,13.7
"74","Feb_22|HSUP-01|T8|9.6","HSUP-01","T8",9.6,2,1,1,6,2,20,33.85,0,0,6.15,44.62,0,1.54,0,0,0,9.23,0,0,0,1.54,0,3.08,0,"T8",9.6,"Feb-22","HSUP-01","Feb_22",6.15,12.31
"75","Jul_21|EDNA-01|T3|79","EDNA-01","T3",79,5,4,2,0,0,3,0,25.71,0,0,0,0,2.86,0,0,0,0,0,71.43,0,0,0,0,0,"T3",79,"Jul-21","EDNA-01","Jul_21",0,71.43
"76","Jul_21|JULI-01|T1|98","JULI-01","T1",98,4,1,0,0,0,0,0,30.91,0,0,0,0,18.18,9.09,0,3.64,0,0,18.18,0,0,0,0,20,"T1",98,"Jul-21","JULI-01","Jul_21",0,18.18
"77","Jul_21|JULI-01|T3|68","JULI-01","T3",68,3,4,0,0,0,0,1.52,6.06,0,0,0,10.61,30.3,6.06,0,6.06,0,0,0,0,0,0,1.52,37.88,"T3",68,"Jul-21","JULI-01","Jul_21",10.61,1.52
"78","Jul_21|JULI-01|T7|34.9","JULI-01","T7",34.9,3,14,0,6,1,1,32.31,3.08,0,0,0,3.08,7.69,0,0,30.77,6.15,1.54,6.15,0,0,0,6.15,3.08,"T7",34.9,"Jul-21","JULI-01","Jul_21",3.08,19.99
"79","Jul_21|JULI-01|T8|28","JULI-01","T8",28,3,0,0,5,0,0,44.23,0,0,0,0,5.77,15.38,0,0,23.08,5.77,3.85,0,0,0,0,1.92,0,"T8",28,"Jul-21","JULI-01","Jul_21",5.77,11.54
"80","Jul_21|JULI-02|T4|77","JULI-02","T4",77,3.5,2,0,3,0,0,0,42.19,0,0,0,0,7.81,0,0,37.5,0,0,6.25,0,0,0,0,6.25,"T4",77,"Jul-21","JULI-02","Jul_21",0,6.25
